,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_value,p_value,p_value,p_value,p_value,p_value
Metric,Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min)
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 – Media (35:1) (seed 2028),1.0,20.457,39.659,27.718,27.564,0.744,2.777,1.248,26.453,14.512,9.916,0.88,-1.0,0.8832,-0.1049,-0.1049,0.0338,-0.5,0.0,0.0,0.004524,0.004524,0.390301,0.0,0.0,0.0,0.003932,0.003931,0.383331,0.0
S3 – Media (35:1) (seed 2029),1.0,19.751,39.934,27.788,27.503,0.724,2.748,1.143,26.697,14.551,9.592,0.887,-1.0,0.8519,-0.0433,-0.0433,0.1096,-0.522,0.0,0.0,0.236452,0.236452,0.004994,0.0,0.0,0.0,0.230698,0.230822,0.00437,0.0
S3 – Media (35:1) (seed 2030),1.0,12.262,29.631,17.721,18.306,0.794,2.545,0.675,24.946,13.036,8.641,0.913,-1.0,0.8809,-0.2414,-0.2414,-0.0975,-0.5516,0.0,0.0,0.0,0.0,0.011656,0.0,0.0,0.0,0.0,0.0,0.010615,0.0
S3 – Media (35:1) (seed 2031),1.0,14.771,32.9,20.913,21.07,0.774,2.647,0.737,25.751,13.765,9.046,0.904,-1.0,0.8426,-0.2018,-0.2018,-0.0685,-0.5079,0.0,0.0,0.0,0.0,0.084813,0.0,0.0,0.0,0.0,0.0,0.081784,0.0
S3 – Media (35:1) (seed 2032),1.0,16.458,34.739,22.797,22.927,0.771,2.658,0.865,25.227,13.285,8.963,0.897,-1.0,0.8725,-0.1725,-0.1726,-0.0299,-0.528,0.0,0.0,1e-06,1e-06,0.440374,0.0,0.0,0.0,1e-06,1e-06,0.435131,0.0
S4 – Alta (52:1) (seed 2025),1.0,52.649,76.13,63.998,63.17,0.608,3.066,3.966,30.934,18.854,14.067,0.79,-1.0,0.8127,0.214,0.214,0.3391,-0.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2026),1.0,57.947,80.646,68.784,67.941,0.621,3.059,2.612,29.428,17.545,12.575,0.842,-1.0,0.8574,0.1993,0.1993,0.3142,-0.5368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2028),1.0,51.551,74.894,62.972,61.887,0.622,3.143,6.13,34.07,22.13,17.078,0.759,-1.0,0.798,0.1887,0.1887,0.3187,-0.4025,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0
S4 – Alta (52:1) (seed 2029),1.0,55.209,79.729,67.612,66.401,0.578,3.156,7.597,36.174,24.028,18.479,0.745,-1.0,0.7292,0.2732,0.2732,0.3622,-0.3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2030),1.0,48.19,71.017,59.166,58.788,0.612,2.987,4.231,31.332,19.421,14.54,0.786,-1.0,0.81,0.2219,0.2219,0.3308,-0.4115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2031),1.0,47.277,70.391,58.37,57.277,0.63,3.073,5.342,33.342,21.355,16.101,0.755,-1.0,0.7637,0.1672,0.1672,0.2737,-0.3155,0.0,0.0,2.6e-05,2.6e-05,0.0,0.0,0.0,0.0,2.1e-05,2.1e-05,0.0,0.0
S4 – Alta (52:1) (seed 2032),1.0,51.582,75.094,63.194,62.409,0.609,2.995,3.2,30.564,18.622,13.594,0.801,-1.0,0.8972,0.2642,0.2642,0.3755,-0.4932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
