Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),RH Avg CTD (min),Δ% Avg CTD (min),FCFS Cost/Order ($),RH Cost/Order ($),Δ% Cost/Order ($),FCFS Orders/Courier/Hr,RH Orders/Courier/Hr,Δ% Orders/Courier/Hr,FCFS Utilization (%),RH Utilization (%),Δ% Utilization (%),FCFS SLA Compliance (%),RH SLA Compliance (%),Δ% SLA Compliance (%),FCFS Dist/Order (km),RH Dist/Order (km),Δ% Dist/Order (km)
S3 – Media (35:1),988,29,34.1,32.9,48.08,46.14,10.0,10.0,0.0,2.71,6.84,152.4,37.56,52.05,38.58,77.43,57.49,-25.75,5.11,2.61,-48.92
S4 – Alta (52:1),988,19,52.0,70.39,66.31,-5.8,10.0,10.0,0.0,3.62,8.33,130.11,53.53,57.53,7.47,63.05,51.58,-18.19,5.55,2.36,-57.48
S1 – Baja (18:1),1047,59,17.7,9.87,31.49,219.05,11.33,10.0,-11.74,1.42,3.94,177.46,17.36,36.32,109.22,100.0,76.12,-23.88,4.25,3.09,-27.29
S2 – Moderada (26:1),1047,41,25.5,14.73,35.48,140.87,10.01,10.0,-0.1,2.05,5.2,153.66,26.29,42.73,62.53,93.6,68.67,-26.63,4.52,2.74,-39.38
S3 – Media (35:1),1047,30,34.9,34.74,44.16,27.12,10.0,10.0,0.0,2.8,6.61,136.07,38.06,49.31,29.56,77.08,60.74,-21.2,4.85,2.49,-48.66
S4 – Alta (52:1),1047,21,49.9,75.09,55.62,-25.93,10.0,10.0,0.0,3.68,8.17,122.01,51.98,55.8,7.35,60.89,51.29,-15.77,5.11,2.27,-55.58
S1 – Baja (18:1),991,56,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),991,39,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),991,29,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1),991,20,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1),994,56,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),994,39,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),994,29,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1),994,20,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
