,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_value,p_value,p_value,p_value,p_value,p_value
Metric,Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min)
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 – Media (35:1) (seed 2029),1.0,19.751,39.934,27.788,27.503,0.724,3.442,13.32,45.453,33.307,26.88,0.588,0.9306,0.0746,0.4496,0.4424,0.337,-0.1359,0.0,0.000592,0.0,0.0,0.0,0.0,0.0,0.000564,0.0,0.0,0.0,0.0
S3 – Media (35:1) (seed 2030),1.0,12.262,29.631,17.721,18.306,0.794,3.276,10.344,41.495,29.585,23.817,0.625,0.8899,0.1258,0.5649,0.5554,0.4457,-0.1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1) (seed 2031),1.0,14.771,32.9,20.913,21.07,0.774,3.348,15.769,48.08,36.094,29.89,0.575,0.915,0.1581,0.5666,0.5588,0.4556,-0.1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1) (seed 2032),1.0,16.458,34.739,22.797,22.927,0.771,3.265,12.837,44.164,32.223,26.773,0.607,0.8968,0.1153,0.5206,0.5096,0.4195,-0.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2025),1.0,52.649,76.13,63.998,63.17,0.608,3.599,27.567,59.935,47.873,41.615,0.552,0.955,-0.0331,0.2522,0.2482,0.1505,-0.0559,0.0,0.168318,0.0,0.0,0.0,0.013855,0.0,0.163309,0.0,0.0,0.0,0.013278
S4 – Alta (52:1) (seed 2026),1.0,57.947,80.646,68.784,67.941,0.621,3.642,34.973,68.236,56.365,49.997,0.48,0.9676,0.0337,0.2969,0.2869,0.1995,-0.141,0.0,0.168318,0.0,0.0,0.0,0.0,0.0,0.1628,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2028),1.0,51.551,74.894,62.972,61.887,0.622,3.58,23.917,56.415,44.476,38.388,0.534,0.9452,-0.0179,0.2582,0.2507,0.1648,-0.088,0.0,0.461743,0.0,0.0,0.0,0.000126,0.0,0.456246,0.0,0.0,0.0,0.000118
S4 – Alta (52:1) (seed 2029),1.0,55.209,79.729,67.612,66.401,0.578,3.657,34.462,67.995,55.849,48.793,0.476,0.9707,-0.0081,0.2276,0.2219,0.1453,-0.102,0.0,0.742288,0.0,0.0,0.0,1e-05,0.0,0.742288,0.0,0.0,0.0,9e-06
S4 – Alta (52:1) (seed 2030),1.0,48.19,71.017,59.166,58.788,0.612,3.589,29.316,62.313,50.403,43.951,0.491,0.9652,0.015,0.2753,0.2691,0.173,-0.1216,0.0,0.532154,0.0,0.0,0.0,0.0,0.0,0.528986,0.0,0.0,0.0,0.0
S4 – Alta (52:1) (seed 2031),1.0,47.277,70.391,58.37,57.277,0.63,3.609,33.586,66.308,54.335,47.731,0.516,0.9684,0.0316,0.3052,0.299,0.2066,-0.1147,0.0,0.202502,0.0,0.0,0.0,1e-06,0.0,0.197681,0.0,0.0,0.0,1e-06
S4 – Alta (52:1) (seed 2032),1.0,51.582,75.094,63.194,62.409,0.609,3.5,23.104,55.618,43.671,37.731,0.513,0.9396,-0.022,0.2318,0.2223,0.1364,-0.096,0.0,0.355149,0.0,0.0,0.0,1.6e-05,0.0,0.348807,0.0,0.0,0.0,1.5e-05
