Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),FCFS P50 CTD (min),FCFS P90 CTD (min),FCFS P95 CTD (min),FCFS Avg RTP (min),FCFS P90 RTP (min),FCFS Avg RTD (min),FCFS P90 RTD (min),FCFS % Undelivered,FCFS SLA Compliance (%),FCFS Avg Bundle Size,FCFS % Multi-Bundle,FCFS Total Distance (km),FCFS Dist/Order (km),FCFS Orders/Courier/Hr,FCFS Bundles/Hr,FCFS Utilization (%),FCFS Total Compensation ($),FCFS Cost/Order ($),FCFS Frac. Min Comp,FCFS CTD Overage (min),RH Avg CTD (min),RH P50 CTD (min),RH P90 CTD (min),RH P95 CTD (min),RH Avg RTP (min),RH P90 RTP (min),RH Avg RTD (min),RH P90 RTD (min),RH % Undelivered,RH SLA Compliance (%),RH Avg Bundle Size,RH % Multi-Bundle,RH Total Distance (km),RH Dist/Order (km),RH Orders/Courier/Hr,RH Bundles/Hr,RH Utilization (%),RH Total Compensation ($),RH Cost/Order ($),RH Frac. Min Comp,RH CTD Overage (min),Δ% Avg CTD (min),Δ% P50 CTD (min),Δ% P90 CTD (min),Δ% P95 CTD (min),Δ% Avg RTP (min),Δ% P90 RTP (min),Δ% Avg RTD (min),Δ% P90 RTD (min),Δ% % Undelivered,Δ% SLA Compliance (%),Δ% Avg Bundle Size,Δ% % Multi-Bundle,Δ% Total Distance (km),Δ% Dist/Order (km),Δ% Orders/Courier/Hr,Δ% Bundles/Hr,Δ% Utilization (%),Δ% Total Compensation ($),Δ% Cost/Order ($),Δ% Frac. Min Comp,Δ% CTD Overage (min),FCFS Time (s),RH Time (s)
S3 – Media (35:1),1014,29,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S4 – Alta (52:1),1014,20,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
S1 – Baja (18:1),1012,57,17.8,10.26,10.16,13.27,14.14,0.13,0.0,-1.68,3.22,0.0,100.0,1.0,0.0,4719.61,4.66,1.43,1.43,18.27,11692.97,11.55,0.58,0.0,33.06,30.12,50.17,55.95,16.01,32.36,21.12,38.57,0.0,75.1,2.82,72.53,8790.53,3.07,4.04,1.94,36.34,28660.0,10.0,0.0,2.93,222.22,196.46,278.07,295.69,12215.38,0.0,1357.14,1097.83,0.0,-24.9,182.0,0.0,86.26,-34.12,182.52,35.66,98.91,145.1,-13.42,-100.0,0.0,50.1,2940.9
S2 – Moderada (26:1),1012,39,25.9,19.63,11.0,49.31,85.36,8.34,32.88,7.69,35.27,0.0,88.44,1.0,0.0,5027.86,4.97,2.08,2.08,28.29,10120.0,10.0,0.0,4.64,37.84,32.26,58.5,73.38,20.41,40.28,25.9,47.4,0.0,68.18,3.17,82.71,7275.86,2.8,5.36,2.21,44.03,26020.0,10.0,0.0,7.08,92.77,193.27,18.64,-14.03,144.72,22.51,236.8,34.39,0.0,-22.91,217.0,0.0,44.71,-43.66,157.69,6.25,55.64,157.11,0.0,0.0,52.59,31.2,1433.1
S3 – Media (35:1),1012,29,34.9,39.66,12.28,130.72,156.52,27.56,116.69,27.72,120.26,0.0,74.41,1.0,0.0,5203.22,5.14,2.8,2.8,39.29,10120.0,10.0,0.0,20.46,45.66,34.05,84.75,141.08,28.0,63.43,33.72,71.04,0.0,60.97,3.35,89.53,6148.89,2.6,6.54,2.46,50.34,23610.0,10.0,0.0,14.31,15.13,177.28,-35.17,-9.86,1.6,-45.64,21.65,-40.93,0.0,-18.06,235.0,0.0,18.17,-49.42,133.57,-12.14,28.12,133.3,0.0,0.0,-30.06,34.5,1344.9
S4 – Alta (52:1),1012,20,50.6,74.89,14.94,230.72,276.62,61.89,215.09,62.97,218.96,12.06,62.25,1.0,0.0,4904.05,5.51,3.57,3.57,53.05,8900.0,10.0,0.0,51.55,56.42,38.26,144.16,189.88,38.39,126.19,44.48,131.97,2.57,53.45,3.58,94.52,4685.53,2.32,8.1,2.65,56.0,20170.0,10.0,0.0,23.92,-24.66,156.09,-37.52,-31.36,-37.97,-41.33,-29.36,-39.73,-78.69,-14.14,258.0,0.0,-4.46,-57.89,126.89,-25.77,5.56,126.63,0.0,0.0,-53.6,35.2,1418.3
S1 – Baja (18:1),1023,57,17.9,10.59,10.47,13.66,14.72,0.19,0.0,-1.56,3.54,0.0,100.0,1.0,0.0,4906.08,4.8,1.44,1.44,19.26,11697.86,11.43,0.56,0.0,34.06,31.55,51.48,57.79,16.56,32.93,21.91,39.46,0.0,71.26,2.9,73.02,9393.33,3.21,4.12,1.98,39.03,29220.0,10.0,0.0,3.3,221.62,201.34,276.87,292.6,8615.79,0.0,1504.49,1014.69,0.0,-28.74,190.0,0.0,91.46,-33.12,186.11,37.5,102.65,149.79,-12.51,-100.0,0.0,50.5,2894.1
S2 – Moderada (26:1),1023,40,25.6,18.8,11.44,47.47,73.34,7.38,32.84,6.66,36.4,0.0,88.66,1.0,0.0,5129.39,5.01,2.05,2.05,28.57,10230.0,10.0,0.0,3.8,37.27,33.56,56.61,67.15,19.32,37.35,25.12,44.88,0.0,65.88,3.16,83.68,7676.46,2.93,5.26,2.2,45.54,26210.0,10.0,0.0,5.74,98.24,193.36,19.25,-8.44,161.79,13.73,277.18,23.3,0.0,-25.69,216.0,0.0,49.66,-41.52,156.59,7.32,59.4,156.21,0.0,0.0,51.05,30.8,1336.8
S3 – Media (35:1),1023,30,34.1,39.93,13.12,126.93,154.83,27.5,111.77,27.79,115.42,0.0,72.43,1.0,0.0,5428.11,5.31,2.74,2.74,39.75,10230.0,10.0,0.0,19.75,45.45,35.51,71.03,135.64,26.88,50.78,33.31,59.17,0.0,58.85,3.44,93.06,6426.86,2.6,6.62,2.32,51.14,24730.0,10.0,0.0,13.32,13.82,170.66,-44.04,-12.39,-2.25,-54.57,19.86,-48.74,0.0,-18.75,244.0,0.0,18.4,-51.04,141.61,-15.33,28.65,141.74,0.0,0.0,-32.56,34.8,1058.5
S4 – Alta (52:1),1023,20,51.1,79.73,17.36,214.9,284.03,66.4,199.51,67.61,202.95,13.59,57.81,1.0,0.0,5086.33,5.75,3.55,3.55,54.59,8840.0,10.0,0.0,55.21,67.99,41.32,175.4,228.5,48.79,153.85,55.85,163.58,0.0,47.61,3.66,97.07,4826.66,2.33,8.32,2.53,57.73,20720.0,10.0,0.0,34.46,-14.72,138.02,-18.38,-19.55,-26.52,-22.89,-17.39,-19.4,-100.0,-17.64,266.0,0.0,-5.11,-59.48,134.37,-28.73,5.75,134.39,0.0,0.0,-37.58,35.8,1352.9
S1 – Baja (18:1),1035,58,17.8,9.65,9.7,12.69,13.44,0.12,0.0,-2.26,2.62,0.0,100.0,1.0,0.0,4411.1,4.26,1.43,1.43,16.96,11913.62,11.51,0.53,0.0,31.57,29.23,47.36,53.41,15.09,31.03,19.66,36.29,0.0,77.68,2.66,67.63,9128.6,3.15,4.02,2.12,36.81,29000.0,10.0,0.0,2.09,227.15,201.34,273.21,297.4,12475.0,0.0,969.91,1285.11,0.0,-22.32,166.0,0.0,106.95,-26.06,181.12,48.25,117.04,143.42,-13.12,-100.0,0.0,50.7,2911.5
